order_purchase_timestamp,revenue
2017-11-02,21074.93
2017-11-03,22844.05
2017-11-04,19033.27
2017-11-05,16323.76
2017-11-06,27673.15
2017-11-07,19711.71
2017-11-08,18594.64
2017-11-09,24307.55
2017-11-10,18789.56
2017-11-11,22768.63
2017-11-12,22553.77
2017-11-13,23792.68
2017-11-14,26542.95
2017-11-15,22591.4
2017-11-16,27674.54
2017-11-17,28711.29
2017-11-18,22713.91
2017-11-19,19932.66
2017-11-20,43405.98
2017-11-21,33600.85
2017-11-22,23951.51
2017-11-23,43102.33
2017-11-24,149916.58
2017-11-25,59928.51
2017-11-26,44000.48
2017-11-27,47237.270000000004
2017-11-28,47694.76
2017-11-29,39093.09
2017-11-30,30835.85
2017-12-01,38966.51
2017-12-02,30769.14
2017-12-03,28825.3
2017-12-04,45101.28
2017-12-05,33224.77
2017-12-06,38694.05
2017-12-07,27649.88
2017-12-08,28848.49
2017-12-09,19728.04
2017-12-10,23843.78
2017-12-11,33134.94
2017-12-12,32802.19
2017-12-13,28972.58
2017-12-14,24980.45
2017-12-15,26582.62
2017-12-16,20125.39
2017-12-17,19025.62
2017-12-18,28791.47
2017-12-19,20356.99
2017-12-20,26642.54
2017-12-21,18208.63
2017-12-22,14196.95
2017-12-23,11623.65
2017-12-24,5600.02
2017-12-25,9858.64
2017-12-26,20071.73
2017-12-27,17341.4
2017-12-28,14647.79
2017-12-29,15912.82
2017-12-30,13042.65
2017-12-31,8462.880000000001
2018-01-01,6818.31
2018-01-02,24912.05
2018-01-03,31061.83
2018-01-04,34137.05
2018-01-05,25901.49
2018-01-06,27513.73
2018-01-07,28320.06
2018-01-08,37611.71
2018-01-09,29865.170000000002
2018-01-10,37384.96
2018-01-11,39648.12
2018-01-12,30174.74
2018-01-13,27402.24
2018-01-14,30606.37
2018-01-15,37765.71
2018-01-16,42306.97
2018-01-17,35283.53
2018-01-18,27684.88
2018-01-19,27146.19
2018-01-20,22152.69
2018-01-21,21728.24
2018-01-22,36787.96
2018-01-23,34046.69
2018-01-24,30949.0
2018-01-25,28822.42
2018-01-26,33598.11
2018-01-27,21544.61
2018-01-28,22614.96
2018-01-29,29987.56
2018-01-30,28640.96
2018-01-31,32226.69
2018-02-01,29865.85
2018-02-02,26885.53
2018-02-03,22822.170000000002
2018-02-04,23507.49
2018-02-05,35467.24
2018-02-06,33539.34
2018-02-07,30891.45
2018-02-08,27074.86
2018-02-09,30571.07
2018-02-10,20579.17
2018-02-11,22014.31
2018-02-12,23255.73
2018-02-13,23059.65
2018-02-14,36580.37
2018-02-15,31290.7
2018-02-16,26668.1
2018-02-17,24662.48
2018-02-18,24141.73
2018-02-19,27551.75
2018-02-20,36289.7
2018-02-21,31508.57
2018-02-22,29828.19
2018-02-23,28327.89
2018-02-24,23995.28
2018-02-25,28397.22
2018-02-26,43372.46
2018-02-27,39901.51
2018-02-28,44387.32
2018-03-01,38918.9
2018-03-02,31378.56
2018-03-03,25925.77
2018-03-04,30922.02
2018-03-05,36822.590000000004
2018-03-06,38217.79
2018-03-07,35398.91
2018-03-08,27521.6
2018-03-09,27192.76
2018-03-10,25262.49
2018-03-11,31078.58
2018-03-12,30082.26
2018-03-13,34400.25
2018-03-14,22466.81
2018-03-15,41686.36
2018-03-16,31928.74
2018-03-17,19725.21
2018-03-18,30582.35
2018-03-19,43419.19
2018-03-20,35076.97
2018-03-21,39133.58
2018-03-22,30400.87
2018-03-23,26706.66
2018-03-24,23584.87
